Name,State,Lat,Long,salary,positions
Jackson,MS,39.0462506,-82.6428242,56851 ,9
McAllen ,TX,26.2043691,-98.230082,50552 ,1
Miami,FL,25.7742658,-80.1936589,64384 ,47
New Orleans,LA,29.9499323,-90.0701156,53047 ,5
Flint,MI,43.0161693,-83.6900211,52617 ,3
Brownsville,TX,25.9140256,-97.4890856,49968 ,1
Salinas,CA,36.6744117,-121.6550372,60591 ,2
Memphis,TN,35.1490215,-90.0516285,43121 ,10
Fresno,CA,36.7295295,-119.7088613,60100 ,3
Modesto,CA,37.6390972,-120.9968782,59367 ,4
Mobile,AL,39.092585,-84.853229,55249 ,2
Shreveport,LA,32.5221828,-93.7651944,55397 ,4
Stockton,CA,49.583333,-99.45,59113 ,6
Bakersfield,CA,35.3738712,-119.0194639,59792 ,2
San Juan,PR,-25.4206759,-49.2687429,33716 ,8
